,zipcode,population,5_years_or_less,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,households,"$9,999_or_less","$10,000-$14,999","$15,000-$24,999","$25,000-$34,999","$35,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$150,000","$150,000-$199,999","$200,000_or_more",median_household_income,mean_household_income,gini
11903,37013,90073,7738,6449,5793,5540,6516,18478,14935,11333,4733,3615,3523,1093,327,33117,4.6,3.6,10.2,12.7,20.6,22.3,11.8,9.6,3.1,1.6,48423,60378,0.18498787146250986
11905,37015,18361,1224,1572,1086,1141,963,2085,2502,2738,1413,1012,1674,691,260,6734,5.9,4.1,13.2,14.4,16.5,19.5,13.2,11.0,1.7,0.6,47253,55871,0.1879205739060474
11914,37027,53242,3147,4130,4314,4381,1882,4475,7853,8871,3902,3252,4540,1916,579,18642,1.4,1.3,2.6,4.2,7.3,12.3,10.9,20.9,11.6,27.6,119570,168343,0.15718487185389812
11916,37029,5484,252,303,369,312,214,577,755,862,437,365,743,248,47,1943,3.0,2.3,5.8,6.2,13.7,21.8,15.7,18.3,4.6,8.6,70907,92858,0.1826349955011175
11946,37072,31392,1876,1766,1711,1868,1607,4401,3681,4769,2573,2213,3024,1500,403,12458,4.8,4.6,9.9,10.4,13.4,22.0,15.5,14.5,3.3,1.6,57846,67419,0.1855381202635287
11950,37076,37749,3276,2368,2022,1330,2742,7765,4797,4820,2136,1996,2471,1519,507,15720,5.5,3.1,9.8,13.0,16.0,22.6,14.3,11.7,2.7,1.5,52193,62153,0.18455091173148305
11953,37080,7079,388,278,287,413,212,776,795,1209,635,757,818,383,128,2895,5.8,2.6,12.8,10.4,15.0,18.9,12.4,18.2,1.0,2.8,54611,65632,0.19305464605991218
11967,37115,39846,2954,2970,2550,2326,2546,6404,4966,4704,2981,2361,2751,1541,792,16025,10.2,8.8,15.7,14.2,17.8,17.5,8.7,4.6,1.7,0.7,35758,45942,0.2064078684152034
11969,37122,51660,3588,3940,3676,3514,2181,5703,7836,7821,3323,3491,4375,1752,460,18587,2.0,1.7,7.1,6.4,12.2,20.7,17.7,19.7,7.6,5.0,74866,88803,0.17255986090412317
11978,37138,23408,1340,1269,1631,1255,1287,2653,3504,3612,1531,1715,2408,1030,173,8933,5.1,5.6,7.7,10.0,12.9,18.9,18.2,13.8,4.1,3.8,58849,76599,0.19420966374682117
11982,37143,3847,246,199,293,274,149,289,758,593,248,304,374,97,23,1378,8.6,3.1,7.3,12.5,12.6,19.2,20.2,11.5,3.2,2.0,57635,64148,0.19073379441280178
12009,37189,3476,324,214,223,101,100,594,643,390,232,273,224,116,42,1258,6.9,1.3,13.8,7.6,24.3,17.6,14.6,11.8,1.4,0.6,48115,56659,0.18015307986775708
12012,37201,1870,19,0,0,90,250,689,335,214,105,41,127,0,0,681,5.3,0.0,15.4,2.8,8.4,33.9,17.8,6.3,9.1,1.0,58508,69240,0.17472593376628037
12013,37203,12068,548,614,497,459,1849,3340,1184,1412,703,607,510,300,45,5777,21.0,8.5,12.8,8.6,9.5,16.7,8.5,8.5,2.0,4.0,33072,54814,0.2578386194929143
12014,37204,13169,650,471,489,1276,1558,2709,1583,1390,897,690,884,357,215,5531,6.3,5.2,5.9,9.9,11.3,14.4,12.6,17.5,7.4,9.6,69482,95025,0.2093434028284006
