Gene Id,Disease Id
ENSG00000000971,MESH:D056486
ENSG00000001167,MESH:D011297
ENSG00000004455,MESH:D009336
ENSG00000005421,MESH:D007859
ENSG00000005844,MESH:D056486
ENSG00000006128,MESH:D008569
ENSG00000008405,MESH:D007249
ENSG00000011426,MESH:D006965
ENSG00000012660,MESH:D009336
ENSG00000012779,MESH:D007249
ENSG00000013810,MESH:D008569
ENSG00000014216,MESH:D007674
ENSG00000016391,MESH:D007249
ENSG00000018625,MESH:D007249
ENSG00000021645,MESH:D011297
ENSG00000035403,MESH:D009336
ENSG00000036473,MESH:D004487
ENSG00000040275,MESH:D011297
ENSG00000043591,MESH:D056486
ENSG00000049239,MESH:D007249
ENSG00000055118,MESH:D001281
ENSG00000057657,MESH:D056486
ENSG00000059378,MESH:D009336
ENSG00000064042,MESH:D009336
ENSG00000065717,MESH:D009336
ENSG00000066279,MESH:D008113
ENSG00000067064,MESH:D007674
ENSG00000067141,MESH:D009336
ENSG00000070501,MESH:D009336
ENSG00000072571,MESH:D015431
ENSG00000072786,MESH:D009336
ENSG00000073712,MESH:D056486
ENSG00000073756,MESH:D006505
ENSG00000074803,MESH:D009336
ENSG00000075239,MESH:D015431
ENSG00000076382,MESH:D008113
ENSG00000080986,MESH:D056486
ENSG00000082641,MESH:D007249
ENSG00000084754,MESH:D006529
ENSG00000085999,MESH:D007249
ENSG00000087074,MESH:D006973
ENSG00000087191,MESH:D056486
ENSG00000087510,MESH:D011297
ENSG00000089327,MESH:D009336
ENSG00000090238,MESH:D056486
ENSG00000090266,MESH:D056486
ENSG00000091129,MESH:D011297
ENSG00000091140,MESH:D009410
ENSG00000091831,MESH:D000014
ENSG00000092964,MESH:D009336
ENSG00000094963,MESH:D056486
ENSG00000095585,MESH:D048629
ENSG00000097021,MESH:D009336
ENSG00000099219,MESH:D056486
ENSG00000100075,MESH:D011297
ENSG00000100100,MESH:D009336
ENSG00000100297,MESH:D056486
ENSG00000100504,MESH:D007249
ENSG00000100519,MESH:D056486
ENSG00000100983,MESH:D011297
ENSG00000100985,MESH:D006505
ENSG00000101076,MESH:D008107
ENSG00000101160,MESH:D009336
ENSG00000101670,MESH:D056486
ENSG00000101846,MESH:D056486
ENSG00000101856,MESH:D056486
ENSG00000101966,MESH:D011507
ENSG00000102081,MESH:D009336
ENSG00000102409,MESH:D015431
ENSG00000102804,MESH:D011041
ENSG00000103034,MESH:D007249
ENSG00000103257,MESH:D015431
ENSG00000103375,MESH:D056486
ENSG00000103423,MESH:D056486
ENSG00000104549,MESH:D009336
ENSG00000104738,MESH:D007249
ENSG00000104774,MESH:D056486
ENSG00000104825,MESH:D009336
ENSG00000105011,MESH:D009336
ENSG00000105327,MESH:D064420
ENSG00000105707,MESH:D008064
ENSG00000105971,MESH:D005355
ENSG00000106049,MESH:D056486
ENSG00000106588,MESH:D006965
ENSG00000107485,MESH:D008113
ENSG00000107554,MESH:D009336
ENSG00000108479,MESH:D056486
ENSG00000109424,MESH:D009336
ENSG00000109458,MESH:D056486
ENSG00000109472,MESH:D007249
ENSG00000109654,MESH:D009336
ENSG00000109819,MESH:D058186
