ensembl_id,entrez_id,hgnc_symbol,hgnc_name,cytogenetic_location,uni_protein_id,gene_biotype
seedRow,,,,,,
ENSG00000136155,8796.0,SCEL,sciellin,13q22.3,O95171,protein_coding
ENSG00000227942,83957.0,FRMD8P1,FERM domain containing 8 pseudogene 1,Xq12,,processed_pseudogene
ENSG00000142002,91039.0,DPP9,dipeptidyl peptidase 9,19p13.3,Q86TI2,protein_coding
ENSG00000267077,,,,,,
ENSG00000231414,,,,,,
ENSG00000272311,,,,,,
ENSG00000237753,,,,,,
ENSG00000221672,,,,,,
ENSG00000253578,,,,,,
ENSG00000224939,100302691.0,LINC00184,long intergenic non-protein coding RNA 184,1q42.3,,lincRNA
ENSG00000196876,6334.0,SCN8A,sodium voltage-gated channel alpha subunit 8,12q13.13,Q9UQD0,protein_coding
ENSG00000271298,,,,,,
ENSG00000198765,6847.0,SYCP1,synaptonemal complex protein 1,1p13.2,A0A024R0I2,protein_coding
ENSG00000235168,,,,,,
ENSG00000230838,,,,,,
ENSG00000272787,,,,,,
ENSG00000254846,,,,,,
ENSG00000124006,23363.0,OBSL1,obscurin like 1,2q35,O75147,protein_coding
ENSG00000264107,,,,,,
ENSG00000248027,100128386.0,LOC100128386,uncharacterized LOC100128386,11q22.1,,antisense
ENSG00000201348,26767.0,RNU105B,"RNA, U105B small nucleolar",20p12.3,,snoRNA
ENSG00000257322,,,,,,
ENSG00000260520,105371335.0,LOC105371335,uncharacterized LOC105371335,16q22.2,,antisense
ENSG00000268116,,,,,,
ENSG00000203963,400757.0,C1orf141,chromosome 1 open reading frame 141,1p31.3,Q5JVX7,protein_coding
ENSG00000234396,,,,,,
ENSG00000170214,147.0,ADRA1B,adrenoceptor alpha 1B,5q33.3,P35368,protein_coding
ENSG00000238598,,,,,,
ENSG00000169717,140625.0,ACTRT2,actin related protein T2,1p36.32,Q8TDY3,protein_coding
ENSG00000230549,401447.0,USP17L1,ubiquitin specific peptidase 17-like family member 1,8p23.1,Q7RTZ2,protein_coding
ENSG00000204640,129521.0,NMS,neuromedin S,2q11.2,Q5H8A3,protein_coding
ENSG00000170409,,,,,,
ENSG00000259203,,,,,,
ENSG00000270578,,,,,,
ENSG00000239027,,,,,,
ENSG00000235099,,,,,,
ENSG00000230212,100133286.0,LOC100133286,uncharacterized LOC100133286,21q22.12,,sense_intronic
ENSG00000272620,84740.0,AFAP1-AS1,AFAP1 antisense RNA 1,4p16.1,,antisense
ENSG00000214748,,,,,,
ENSG00000115461,3488.0,IGFBP5,insulin like growth factor binding protein 5,2q35,A0A024R433,protein_coding
ENSG00000173227,91683.0,SYT12,synaptotagmin 12,11q13.2,B0AZL9,protein_coding
ENSG00000230201,,,,,,
ENSG00000237019,,,,,,
ENSG00000229278,,,,,,
ENSG00000234319,,,,,,
ENSG00000213096,9534.0,ZNF254,zinc finger protein 254,19p12,A0A087WZJ7,protein_coding
ENSG00000206841,,,,,,
ENSG00000156345,23552.0,CDK20,cyclin dependent kinase 20,9q22.1,Q8IZL9,protein_coding
ENSG00000106771,23731.0,TMEM245,transmembrane protein 245,9q31.3,Q9H330,protein_coding
ENSG00000153930,162282.0,ANKFN1,ankyrin repeat and fibronectin type III domain containing 1,17q22,Q8N957,protein_coding
ENSG00000196230,203068.0,TUBB,tubulin beta class I,6p21.33,B4DY90,protein_coding
ENSG00000132589,2319.0,FLOT2,flotillin 2,17q11.2,J3QLD9,protein_coding
ENSG00000252035,,,,,,
ENSG00000232757,,,,,,
ENSG00000152595,56955.0,MEPE,matrix extracellular phosphoglycoprotein,4q22.1,A0A024RDD1,protein_coding
ENSG00000239470,,,,,,
ENSG00000260249,101927272.0,LOC101927272,uncharacterized LOC101927272,16q12.1,,antisense
ENSG00000259603,,,,,,
ENSG00000226637,,,,,,
ENSG00000251752,,,,,,
ENSG00000064490,8625.0,RFXANK,regulatory factor X associated ankyrin containing protein,19p13.11,O14593,protein_coding
ENSG00000272434,,,,,,
ENSG00000188706,51114.0,ZDHHC9,zinc finger DHHC-type containing 9,Xq26.1,Q9Y397,protein_coding
ENSG00000261213,,,,,,
ENSG00000207617,100422842.0,MIR3074,microRNA 3074,9q22.32,,miRNA
ENSG00000100433,54207.0,KCNK10,potassium two pore domain channel subfamily K member 10,14q31.3,P57789,protein_coding
ENSG00000255167,,,,,,
ENSG00000231651,100873930.0,DLG3-AS1,DLG3 antisense RNA 1,Xq13.1,,antisense
ENSG00000265236,692199.0,SNORD84,"small nucleolar RNA, C/D box 84",6p21.33,,snoRNA
ENSG00000250486,152756.0,FAM218A,family with sequence similarity 218 member A,4q32.3,Q96MZ4,protein_coding
ENSG00000269501,,,,,,
ENSG00000223046,,,,,,
ENSG00000265411,,,,,,
ENSG00000243944,,,,,,
ENSG00000270704,,,,,,
ENSG00000243154,,,,,,
ENSG00000237986,,,,,,
ENSG00000232662,,,,,,
ENSG00000267025,,,,,,
